,fman,sn,lat,lon
0,Willy_Og,2002047,,
0,Willy_Og,2002047,41.84034800000038,-70.48937000000022
0,Willy_Og,2002047,41.84034800000036,-70.48937000000018
0,Willy_Og,2002047,41.840284999999454,-70.48967299999893
0,Willy_Og,2002048,,
0,Willy_Og,2002048,41.81819800000062,-70.50453800000062
0,Willy_Og,2002049,41.858361999999836,-70.50117799999921
0,Willy_Og,2002049,41.85836200000015,-70.50117799999946
0,Willy_Og,2002049,,
0,Willy_Og,2002050,,
0,Willy_Og,2002050,41.828871999998846,-70.49771999999946
0,Willy_Og,2002050,41.82887199999905,-70.49771999999949
0,Willy_Og,2006051,,
0,Willy_Og,2006051,,
0,Willy_Og,2006051,41.77183800000028,-70.50289799999955
0,Willy_Og,2006051,41.79779000000033,-70.5083999999993
0,Willy_Og,2006051,41.79813700000053,-70.50489299999957
